"","2015-09-07","2015-09-08","2015-09-09","2015-09-10","2015-09-11","2015-09-12","2015-09-13","2015-09-14","2015-09-15","2015-09-16","2015-09-17","2015-09-18","2015-09-19","2015-09-20","2015-09-21","2015-09-22","2015-09-23","2015-09-24","2015-09-25","2015-09-26","2015-09-27","2015-09-28","2015-09-29","2015-09-30","2015-10-01","2015-10-02","2015-10-03","2015-10-04","2015-10-05","2015-10-06"
"cloudCover","0.73","0.76","0.87","0.97","0.71","0.82","0.72","0.39","0.87","0.76","0.76","0.76","0.76","0.75","0.75","0.75","0.74","0.74","0.74","0.73","0.73","0.72","0.72","0.71","0.71","0.7","0.7","0.7","0.69","0.69"
"humidity","0.86","0.85","0.84","0.9","0.84","0.82","0.79","0.78","0.78","0.78","0.78","0.77","0.77","0.77","0.77","0.77","0.77","0.77","0.77","0.77","0.77","0.77","0.77","0.77","0.77","0.77","0.77","0.77","0.77","0.77"
"summary","Rain throughout the day.","Rain throughout the day.","Heavy rain in the morning and afternoon.","Heavy rain throughout the day.","Rain starting in the afternoon.","Light rain starting in the afternoon.","Light rain starting in the evening.","Partly cloudy throughout the day.","Overcast in the morning.","Mostly cloudy throughout the day.","Mostly cloudy throughout the day.","Mostly cloudy throughout the day.","Mostly cloudy throughout the day.","Mostly cloudy throughout the day.","Mostly cloudy throughout the day.","Mostly cloudy throughout the day.","Mostly cloudy throughout the day.","Mostly cloudy throughout the day.","Mostly cloudy throughout the day.","Mostly cloudy throughout the day.","Mostly cloudy throughout the day.","Mostly cloudy throughout the day.","Mostly cloudy throughout the day.","Mostly cloudy throughout the day.","Mostly cloudy throughout the day.","Mostly cloudy throughout the day.","Mostly cloudy throughout the day.","Mostly cloudy throughout the day.","Mostly cloudy throughout the day.","Mostly cloudy throughout the day."
"temperatureMax","24.55","27.96","28.46","25.84","27.74","28.46","28.42","28.17","28.16","28.59","28.62","28.63","28.65","28.67","28.68","28.69","28.71","28.72","28.73","28.74","28.75","28.76","28.77","28.77","28.77","28.78","28.78","28.78","28.78","28.77"
"temperatureMin","20.54","19.05","18.44","19.34","19.08","18.88","18.88","18.18","18.87","20.06","20.07","20.07","20.08","20.08","20.09","20.09","20.09","20.09","20.08","20.08","20.07","20.06","20.04","20.03","20.01","19.99","19.97","19.96","19.93","19.91"
